Laser Delay [ns];TA [mOD]
-400;-0.098894
-390;0.252259
-380;-0.124886
-370;0.033017
-360;0.088234
-350;-0.029908
-340;0.017729
-330;0.132878
-320;0.043444
-310;-0.053574
-300;-0.142377
-290;-0.068774
-280;-0.053088
-270;-0.020734
-260;-0.114709
-250;-0.136256
-240;0.038214
-230;-0.267600
-220;0.226424
-210;-0.236288
-200;-0.138952
-190;0.093496
-180;0.012899
-170;0.130844
-160;-0.011164
-150;-0.225569
-140;-0.169874
-130;-0.112726
-120;-0.231082
-110;-0.106345
-100;-0.203577
-90;-0.239625
-80;-0.450445
-70;-0.060176
-60;-0.220615
-50;-0.063469
-40;-0.130094
-30;-0.200450
-20;0.112402
-10;2.032289
0;6.312706
10;10.694568
20;14.616236
30;18.911473
40;22.852588
50;26.912875
60;30.721307
70;34.828331
80;38.621977
90;42.248907
100;45.958669
110;48.953773
120;50.316265
130;49.887945
140;48.942070
150;48.292919
160;48.489276
170;47.861249
180;46.718387
190;46.136994
200;45.889720
210;45.508369
220;44.790295
230;44.554392
240;44.208961
250;43.542910
260;43.267894
270;42.428353
280;41.985841
290;41.256629
300;41.137677
310;40.379151
320;39.981774
330;39.689823
340;39.135986
350;38.666184
360;38.530648
370;37.709757
380;37.399078
390;36.842194
400;36.717447
410;36.279127
420;35.691848
430;35.405738
440;34.984893
450;34.551339
460;34.340003
470;33.703222
480;33.408056
490;33.025359
500;32.502971
510;32.204162
520;31.902796
530;31.353959
540;31.143385
550;30.802527
560;30.475016
570;30.062144
580;30.001575
590;29.393405
600;29.177718
610;28.577175
620;28.440204
630;28.167704
640;27.826901
650;27.449843
660;26.922951
670;26.682836
680;26.692054
690;26.211415
700;25.909282
710;25.812091
720;25.301701
730;25.225604
740;24.955485
750;24.391338
760;24.414166
770;23.699881
780;23.624797
790;23.681705
800;23.122043
810;22.883633
820;22.406129
830;22.494041
840;22.068460
850;21.972001
860;21.755853
870;21.293530
880;21.004791
890;20.804514
900;20.990742
910;20.155396
920;19.985587
930;20.077738
940;19.641195
950;19.677789
960;19.379160
970;18.993162
980;18.945542
990;18.274912
1000;18.313381
1010;18.245356
1020;18.032764
1030;17.595144
1040;17.374851
1050;17.490160
1060;17.102175
1070;17.013581
1080;16.804930
1090;16.679459
1100;16.254230
1110;16.198274
1120;16.084937
1130;15.833780
1140;15.572389
1150;15.488597
1160;14.952131
1170;15.228204
1180;14.924831
1190;14.814625
1200;14.255555
1210;14.524461
1220;14.121933
1230;14.043792
1240;14.045129
1250;13.639357
1260;13.551755
1270;13.333535
1280;13.364146
1290;13.025913
1300;13.011457
1310;12.895748
1320;12.634762
1330;12.696091
1340;12.266702
1350;12.490924
1360;12.388282
1370;11.639634
1380;12.023018
1390;11.803487
1400;11.626080
1410;11.476047
1420;11.611492
1430;10.993571
1440;10.948190
1450;10.905167
1460;10.932769
1470;10.832553
1480;10.472382
1490;10.413543
1500;10.438937
1510;10.366419
1520;10.102730
1530;10.225715
1540;9.847281
1550;9.869668
1560;9.730020
1570;9.227478
1580;9.457993
1590;9.492355
1600;9.401961
1610;9.146675
1620;9.223972
1630;8.691493
1640;8.809320
1650;8.692114
1660;8.206194
1670;8.271389
1680;8.581947
1690;8.308509
1700;8.182458
1710;8.036293
1720;7.986094
1730;7.874012
1740;7.999024
1750;7.750258
1760;7.708087
1770;7.550206
1780;7.415366
1790;7.252926
1800;7.431398
1810;7.172661
1820;7.044342
1830;7.143177
1840;6.879798
1850;6.865904
1860;6.799247
1870;6.891515
1880;6.827384
1890;6.655169
1900;6.522772
1910;6.418403
1920;6.484009
1930;6.447148
1940;6.189976
1950;5.921937
1960;6.179074
1970;6.027989
1980;5.988953
1990;6.068102
2000;5.878992
2010;5.846593
2020;5.600737
2030;5.763283
2040;5.556461
2050;5.527338
2060;5.501057
2070;5.208580
2080;5.298738
2090;5.335222
2100;5.089054
2110;5.079474
2120;4.943853
2130;4.967209
2140;5.141663
2150;4.917010
2160;5.097052
2170;4.876317
2180;4.889337
2190;4.689825
2200;4.556088
2210;4.658940
2220;4.619389
2230;4.319629
2240;4.655834
2250;4.289093
2260;4.101555
2270;4.097107
2280;4.318359
2290;4.176790
2300;3.975038
2310;4.177278
2320;4.077872
2330;3.858775
2340;4.311875
2350;3.943068
2360;3.751587
2370;3.920641
2380;3.891997
2390;3.977430
2400;3.894463
2410;3.953625
2420;3.713915
2430;3.550663
2440;3.666169
2450;3.592178
2460;3.520232
2470;3.417575
2480;3.282973
2490;3.343370
2500;3.207767
2510;3.414855
2520;3.661015
2530;3.282880
2540;3.257920
2550;3.157336
2560;3.332065
2570;3.081261
2580;2.933214
2590;2.958752
2600;3.171989
2610;3.213829
2620;2.980248
2630;2.939342
2640;3.145632
2650;2.810516
2660;2.931321
2670;2.823015
2680;2.825204
2690;2.840395
2700;2.889587
2710;2.695193
2720;2.682767
2730;2.674574
2740;2.458816
2750;2.581398
2760;2.410993
2770;2.379169
2780;2.334571
2790;2.338245
2800;2.372150
2810;2.321078
2820;2.224120
2830;2.174433
2840;2.233807
2850;2.155411
2860;2.000286
2870;2.348231
2880;2.235303
2890;2.234489
2900;2.155176
2910;2.080494
2920;2.147207
2930;2.203066
2940;2.050109
2950;1.988808
2960;2.174812
2970;2.050168
2980;2.085452
2990;2.069958
3000;2.088758
3010;1.627848
3020;1.980396
3030;2.011464
3040;1.911258
3050;1.936179
3060;2.066268
3070;2.005618
3080;1.761253
3090;1.715691
3100;1.616041
3110;1.770432
3120;1.783973
3130;1.706917
3140;1.711999
3150;1.825602
3160;1.743721
3170;1.505868
3180;1.601105
3190;1.775978
3200;1.908596
3210;1.703940
3220;1.525171
3230;1.560022
3240;1.577361
3250;1.545931
3260;1.434089
3270;1.557648
3280;1.533631
3290;1.514313
3300;1.234848
3310;1.304818
3320;1.173601
3330;1.252409
3340;1.190748
3350;1.484635
3360;1.498498
3370;1.459124
3380;1.389651
3390;1.222414
3400;1.369289
3410;1.256389
3420;1.213444
3430;1.189131
3440;1.156917
3450;1.319511
3460;1.413372
3470;1.275186
3480;1.287570
3490;1.458937
3500;1.172600
3510;1.097205
3520;1.067972
3530;0.987800
3540;1.156422
3550;1.125137
3560;0.959643
3570;1.023236
3580;0.897714
3590;0.964892
3600;1.248782
3610;1.006671
3620;1.077682
3630;1.106319
3640;0.939709
3650;1.107152
3660;1.189125
3670;1.005157
3680;0.665465
3690;1.221773
3700;0.654261
3710;0.912484
3720;1.073102
3730;1.241627
3740;0.654725
3750;0.886388
3760;0.819169
3770;0.644141
3780;0.917192
3790;0.773867
3800;0.970897
3810;0.752648
3820;0.495106
3830;0.808375
3840;0.929962
3850;0.876375
3860;0.608566
3870;0.919636
3880;0.997552
3890;0.774549
3900;0.740098
3910;0.756902
3920;0.692862
3930;0.833697
3940;0.718043
3950;0.723478
3960;0.651018
3970;0.671531
3980;0.633665
3990;0.753291
4000;0.825325
4010;0.647568
4020;0.890703
4030;0.941727
4040;0.968579
4050;0.625267
4060;0.738520
4070;0.741993
4080;0.708637
4090;0.760252
4100;0.512124
4110;0.578908
4120;0.437392
4130;0.546696
4140;0.639939
4150;0.669463
4160;0.635670
4170;0.469667
4180;0.533008
4190;0.311496
4200;0.625964
4210;0.419686
4220;0.331811
4230;0.506899
4240;0.464315
4250;0.384160
4260;0.636092
4270;0.685021
4280;0.711092
4290;0.775728
4300;0.278864
4310;0.872611
4320;0.321286
4330;0.754756
4340;0.454077
4350;0.360121
4360;0.389572
4370;0.664402
4380;0.258201
4390;0.684016
4400;0.662709
4410;0.772153
4420;0.785540
4430;0.523490
4440;0.713490
4450;0.504707
4460;0.615221
4470;0.509351
4480;0.278881
4490;0.468877
4500;0.324071
4510;0.196128
4520;0.370233
4530;0.344104
4540;0.365301
4550;0.442816
4560;0.275642
4570;0.089896
4580;0.379067
4590;0.303189
4600;0.282891
4610;0.280191
4620;0.434569
4630;0.492106
4640;0.562329
4650;0.494518
4660;0.652420
4670;0.401011
4680;0.299408
4690;0.479548
4700;0.264424
4710;0.305005
4720;0.441597
4730;0.487093
4740;0.527105
4750;0.338694
4760;0.438045
4770;0.421727
4780;0.323017
4790;0.333481
4800;0.553540
4810;0.587079
4820;0.461264
4830;0.148853
4840;0.467167
4850;0.432512
4860;0.205664
4870;0.545779
4880;0.399633
4890;0.322973
4900;0.493098
4910;0.728610
4920;0.482914
4930;0.357634
4940;0.260583
4950;0.171993
4960;0.380235
4970;0.301815
4980;0.539356
4990;0.466546
5000;0.154938
