Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
1370;4.264874;4.191974;4.318211
1380;3.945751;4.137255;4.170625
1390;3.963466;4.198295;3.916473
1400;4.127411;4.233868;4.348922
1410;3.815361;3.908103;4.155795
1420;4.043633;3.952205;4.167705
1430;3.997370;3.880146;4.092870
1440;4.424926;3.689057;4.041358
1450;3.781414;3.621479;3.818736
1460;4.073717;3.905081;4.061209
1470;3.920230;3.818177;4.034451
1480;3.877742;3.755248;3.941715
1490;3.599143;3.634518;3.707486
1500;3.656134;3.251921;3.592279
1510;3.577199;3.543505;3.151633
1520;3.638742;3.561396;3.547638
1530;3.500249;3.137751;3.232886
1540;3.247691;3.445583;3.455784
1550;3.758312;3.386780;3.422859
1560;3.275289;3.671099;3.286859
1570;3.279868;2.957059;3.336183
1580;3.243870;3.365662;3.311826
1590;3.211478;3.438212;3.252898
1600;3.083862;3.400663;3.231059
1610;2.839778;3.334994;3.114189
1620;3.160725;3.068576;3.176980
1630;2.932685;2.957980;3.248478
1640;2.903511;3.078019;3.067340
1650;2.941481;3.361337;3.480921
1660;2.996476;2.648944;2.920272
1670;2.895791;3.075274;3.012178
1680;2.872155;2.935414;2.920176
1690;2.941481;2.908644;2.804018
1700;2.764349;3.068056;2.809374
1710;2.666020;3.032790;3.199026
1720;3.072540;2.894427;2.957511
1730;2.800847;2.817466;2.594344
1740;2.855519;2.878933;3.192294
1750;2.644181;2.662401;2.903255
1760;2.874168;2.898879;2.954264
1770;2.546567;2.770155;2.518851
1780;2.777620;2.763724;2.686622
1790;2.485659;2.480296;2.685349
1800;2.596026;2.634176;2.510881
1810;2.553570;2.560284;2.456265
1820;2.655607;2.304899;2.546341
1830;2.342271;2.632124;2.607807
1840;2.202441;2.541657;2.628204
1850;2.608202;2.462266;2.694745
1860;2.575270;2.689789;2.513204
1870;2.209291;2.380881;2.225471
1880;2.283063;2.658451;2.641039
1890;2.124979;2.477945;2.361050
1900;2.377329;2.165119;2.481009
1910;2.432143;2.241873;2.324512
1920;2.371910;2.200332;2.374008
1930;2.203580;2.475718;2.515991
1940;2.277734;2.438247;2.174712
1950;2.287508;2.197410;2.169355
1960;1.995098;2.339598;2.125159
1970;2.162059;2.000609;2.419299
1980;2.192235;2.026609;2.001216
1990;2.195424;2.037458;2.054162
2000;2.249254;2.379984;1.855686
2010;2.138746;2.061984;1.881311
2020;2.028546;1.945099;2.092560
2030;1.847395;1.909729;1.845588
2040;2.245066;1.874532;1.926580
2050;1.953770;1.685083;1.977929
2060;1.733029;1.964708;2.066905
2070;2.187244;1.715883;1.936890
2080;1.933853;2.026655;1.754540
2090;1.671653;1.438286;1.928788
2100;1.831574;1.797320;1.874564
2110;1.837911;1.693668;1.801215
2120;1.931133;1.655669;1.500605
2130;1.653116;1.954650;1.924097
2140;1.763430;1.708575;1.791516
2150;1.539790;1.677081;1.869169
2160;1.654125;1.759002;1.692375
2170;1.718715;1.856418;1.923162
2180;1.776731;1.549184;1.759561
2190;1.692957;1.624661;1.744619
2200;1.716476;2.011159;1.554967
2210;1.605217;1.886618;1.496314
2220;1.593951;1.340524;1.496778
2230;1.604710;1.674644;1.725946
2240;1.281523;1.700290;1.679525
2250;1.783573;1.436303;1.715690
2260;1.766560;1.663420;1.565713
2270;1.507833;1.279765;1.445082
2280;1.527958;1.254507;1.820337
2290;1.447822;1.401794;1.486418
2300;1.500715;1.438842;1.098185
2310;1.365552;1.552185;1.570603
2320;1.668449;1.485167;1.329632
2330;1.542435;1.392145;1.361679
2340;1.427938;1.430963;1.247374
2350;1.484088;1.446435;1.203154
2360;1.253448;1.559931;1.456849
2370;1.476816;1.184581;1.242308
2380;1.342405;1.457389;1.467033
2390;1.438167;1.523022;1.464351
2400;1.605403;1.252063;1.693769
2410;1.444081;1.274208;1.403146
2420;1.117233;1.489781;1.372281
2430;1.625538;1.444262;0.986422
2440;1.337949;1.471867;1.158854
2450;1.481247;1.441819;1.082971
2460;1.239409;1.092670;1.327067
2470;1.253153;1.158978;1.624946
2480;0.993245;1.457722;1.270994
2490;1.342863;1.275255;1.007028
2500;1.012208;1.230812;1.229993
2510;1.123436;1.146320;1.080393
2520;1.187256;1.009193;1.200489
2530;1.275470;1.260273;1.228244
2540;1.151218;0.892480;1.277856
2550;0.920473;1.083489;1.246632
2560;1.062964;1.056193;0.881585
2570;0.946848;1.160052;0.949667
2580;1.344941;1.163307;0.926637
2590;1.170134;1.248583;1.003258
2600;1.265034;1.169105;0.891427
2610;1.308495;0.994717;1.060285
2620;1.006912;0.950855;1.118366
2630;0.882446;1.189864;0.934657
2640;1.100732;0.835809;0.848543
2650;1.340503;1.070289;1.047239
2660;1.187956;0.869791;0.872754
2670;0.750238;1.169336;1.034908
2680;0.985519;0.882380;0.735291
2690;1.118241;1.216825;0.883152
2700;0.927068;1.322864;0.933355
2710;1.020098;0.930206;1.055368
2720;0.800961;0.950178;0.904366
2730;0.997981;0.986433;0.999298
2740;0.849754;0.938386;0.737766
2750;0.944516;0.748862;0.925288
2760;0.766185;1.065658;0.789536
2770;0.896872;0.753471;0.654303
2780;1.016137;0.891648;0.733204
2790;1.201341;1.005379;0.762726
2800;1.023662;1.069073;0.879493
2810;0.978268;0.912491;0.963293
2820;1.243138;0.881751;0.788032
2830;0.928934;0.721196;0.995346
2840;0.697158;0.769622;0.666144
2850;0.902922;1.053692;0.779585
2860;0.987256;0.807730;0.896043
2870;1.060616;0.758261;0.585803
2880;1.024069;0.687890;0.965479
2890;0.754714;0.873801;0.618820
2900;0.544998;0.736028;0.756962
2910;0.557099;0.595973;0.456039
2920;0.819923;0.592485;0.730888
2930;0.378223;0.495016;0.655112
2940;0.864399;0.640338;0.801408
2950;0.560850;0.677683;0.473498
2960;0.714707;0.904708;0.625048
2970;0.604167;0.621631;0.801588
2980;0.288336;0.839020;0.602813
2990;0.693874;0.813983;0.483049
3000;0.786200;0.594552;0.653141
3010;0.898957;0.497974;0.487217
3020;0.609948;0.760864;0.542042
3030;0.912910;0.473934;0.933413
3040;0.862198;0.607235;0.972983
3050;0.697267;0.675050;0.710982
3060;0.377467;0.468888;0.651934
3070;0.456094;0.515407;0.846304
3080;0.598065;0.661522;0.367150
3090;0.472267;0.654854;0.755775
3100;0.422693;0.504666;0.542693
3110;0.550465;0.448621;0.497237
3120;0.500376;0.393483;0.482323
3130;0.547487;0.396742;0.576596
3140;0.486581;0.698173;0.468841
3150;0.289798;0.503392;0.733640
3160;0.651535;0.563249;0.547832
3170;0.715457;0.678982;0.591984
3180;0.437030;0.815877;0.475006
3190;0.525498;0.589724;0.310244
3200;0.518028;0.580216;0.825024
3210;0.343308;0.649679;0.697860
3220;0.592332;0.498911;0.256893
3230;0.273045;0.466893;0.246062
3240;0.799198;0.526621;0.685280
3250;0.431228;0.568218;0.806996
3260;0.305129;0.345832;0.280278
3270;0.409265;0.566838;0.260078
3280;0.759598;0.612881;0.602341
3290;0.432343;0.507276;0.689350
3300;0.329738;0.404741;0.443138
3310;0.297551;0.315595;0.452496
3320;0.487924;0.189880;0.518761
3330;0.494247;0.492269;0.606615
3340;0.392290;0.299218;0.498342
3350;0.358343;0.541848;0.320268
3360;0.639913;0.575551;0.203569
3370;0.380279;0.310247;0.513800
3380;0.644621;0.453698;0.269773
3390;0.390162;0.289259;0.485229
3400;0.663412;0.223771;0.431321
3410;0.349433;0.330983;0.321060
3420;0.623078;0.394959;0.305273
3430;0.316472;0.364759;0.467212
3440;0.408664;0.290386;0.291774
3450;0.482875;0.390281;0.481059
3460;0.792637;0.474470;0.442014
3470;0.426068;0.348630;0.455570
3480;0.296416;0.459519;0.521060
3490;0.503964;0.527324;0.120474
3500;0.543502;0.369760;0.569343
3510;0.240839;0.383723;0.464812
3520;0.484119;0.261910;0.453998
3530;0.501781;0.331104;0.564981
3540;0.129340;0.290989;0.335209
3550;0.618691;0.335611;0.545497
3560;0.447831;0.291668;0.189754
3570;0.406538;0.466654;0.299716
3580;0.162219;0.385402;0.455254
3590;0.583261;0.263520;0.228940
3600;0.621974;0.545346;0.334426
3610;0.306369;0.124725;0.122421
3620;0.115808;0.270069;0.350888
3630;0.499175;0.637187;0.287942
3640;0.282884;0.138487;0.502167
3650;0.417671;0.384686;0.597040
3660;0.480348;0.258439;0.280956
3670;0.331645;0.558876;0.320897
3680;0.269178;0.237989;0.260252
3690;0.290323;0.138068;0.251502
3700;0.632121;0.410763;0.266837
3710;0.201159;0.412409;0.305402
3720;0.510334;0.443729;0.162097
3730;0.267167;0.171314;0.331959
3740;0.182048;0.128527;0.131177
3750;0.198512;0.330380;0.387059
3760;0.368688;0.456571;0.277652
3770;0.588742;0.122104;0.388633
3780;0.186167;0.230037;0.242012
3790;0.228299;0.296645;0.358053
3800;0.153466;0.001532;-0.081136
3810;0.164713;-0.107765;0.226127
3820;0.202928;0.712767;0.208050
3830;0.105812;0.405798;0.192863
3840;0.270859;0.354946;0.412067
3850;0.248339;0.283249;0.283010
3860;0.274069;0.137285;0.432152
3870;0.238020;0.252067;0.424155
3880;0.081355;0.422291;0.482122
3890;0.297077;0.205121;0.201600
3900;0.160396;0.320572;0.320777
3910;0.185082;0.385216;0.320628
3920;0.565871;0.240255;0.404441
3930;0.123599;0.239825;0.300271
3940;0.269415;0.246013;0.202265
3950;0.009726;0.100608;-0.119022
3960;0.230932;0.242955;0.479654
3970;0.045508;-0.091441;0.369187
3980;0.029608;0.160846;0.077167
3990;-0.087006;-0.150302;0.107807
4000;0.407122;0.209788;0.459440
4010;0.275381;0.138492;0.160205
4020;0.154355;-0.078061;0.138468
4030;0.239716;0.282288;0.362071
4040;0.249938;0.319420;-0.005618
4050;0.116721;0.206923;0.138381
4060;0.113620;0.453514;0.661143
4070;0.206705;0.076668;-0.106275
4080;0.315358;0.248166;-0.158697
4090;-0.016905;0.258840;0.226795
4100;0.135701;0.462059;0.275650
4110;0.233791;0.507838;0.061576
4120;0.271186;-0.210585;0.059177
4130;0.113615;0.326736;0.280898
4140;0.281729;0.482999;0.061815
4150;0.320716;0.024500;0.311020
4160;0.002555;0.308292;0.479029
4170;0.514348;0.042893;0.426757
4180;0.258974;0.144444;0.254140
4190;0.266146;0.068035;0.078056
4200;0.170839;0.469026;0.222672
4210;0.056744;0.038259;-0.057671
4220;0.266080;0.185067;0.286075
4230;0.147742;-0.126246;0.172448
4240;-0.030136;0.106835;0.118201
4250;0.246561;0.202563;0.129705
4260;0.234546;-0.226271;-0.172548
4270;-0.001532;0.388224;-0.156005
4280;0.424290;0.230815;0.332513
4290;0.034261;0.107768;0.204151
4300;0.171708;0.026102;0.173157
4310;0.188888;-0.100151;0.043926
4320;0.261905;0.282781;-0.175080
4330;-0.017879;0.216549;-0.111682
4340;0.084980;0.317354;0.260096
4350;-0.111075;-0.046897;-0.055114
4360;-0.001023;-0.081665;-0.000510
4370;0.081750;0.185743;0.314359
4380;0.083251;-0.003065;-0.143622
4390;0.249939;0.521952;0.257994
4400;0.253856;0.069506;0.085019
4410;0.191962;0.029580;0.417702
4420;0.011769;0.062766;0.232392
4430;-0.012279;0.136721;0.128611
4440;0.016822;0.356261;0.267019
4450;0.325562;0.081265;0.315619
4460;-0.025014;-0.016343;0.086408
4470;0.102339;-0.014814;-0.083344
4480;0.033175;0.226594;0.060705
4490;0.377502;0.027569;-0.018880
4500;-0.016424;0.207910;0.296482
4510;-0.011237;0.116942;0.317635
4520;-0.107741;-0.226719;0.184964
4530;-0.119866;-0.048020;0.220895
4540;0.070684;0.260351;-0.068430
4550;-0.100249;0.048044;-0.065318
4560;0.039328;0.081703;0.115319
4570;0.157957;0.084829;0.038328
4580;0.178135;0.152538;0.342627
4590;0.132171;0.036805;0.001532
4600;0.221658;0.055173;-0.078181
4610;-0.012799;0.242459;-0.049588
4620;0.032251;0.105597;0.155018
4630;0.212652;0.067886;0.208728
4640;-0.067522;-0.069481;0.120550
4650;0.203732;0.039381;-0.061398
4660;0.034734;0.182947;0.162348
4670;0.064861;-0.089386;-0.095885
4680;0.150693;0.018892;-0.015881
4690;0.031204;0.333998;0.221701
4700;-0.058275;0.186482;0.106391
4710;0.151634;-0.038286;0.274291
4720;-0.051637;0.039332;-0.027623
4730;0.042893;0.091390;-0.124021
4740;0.211770;0.103750;0.131599
4750;-0.155358;0.200299;0.221040
4760;-0.212606;0.081076;0.280951
4770;0.302832;-0.041816;-0.162287
4780;0.392777;0.347285;0.147724
4790;-0.006138;0.136618;0.069663
4800;-0.030689;0.132984;0.153730
4810;0.427102;0.078551;-0.041845
4820;0.035835;0.043944;-0.073435
4830;-0.051576;-0.012271;0.130605
4840;-0.197318;0.185240;0.057223
4850;0.031152;-0.072770;0.003066
4860;0.178039;-0.198428;-0.006116
4870;0.172861;0.016876;0.150552
4880;0.114638;0.183980;-0.082650
4890;0.167798;0.174876;0.074009
4900;0.378711;0.109743;0.254543
4910;-0.008685;0.145759;-0.130344
4920;0.128782;0.001532;0.231622
4930;0.109017;0.257743;0.237523
4940;0.250312;0.234226;0.076020
4950;-0.017408;0.209191;0.099488
4960;-0.008695;0.072533;-0.213255
4970;-0.265706;0.171085;0.469696
4980;-0.040926;0.026507;-0.091958
4990;0.182988;0.054210;0.083110
5000;-0.058881;0.235942;0.016341
