Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
1370;13.049360;12.410107;12.346356
1380;12.441807;12.927238;12.377410
1390;12.224686;12.077868;12.703159
1400;12.039435;12.182125;12.259919
1410;11.803778;12.166931;11.922086
1420;11.766625;11.526922;11.878766
1430;11.693218;11.942072;11.938960
1440;11.421719;11.832443;11.892654
1450;11.504599;11.614897;11.750674
1460;11.723565;11.396528;11.274249
1470;11.167781;11.311030;11.351330
1480;11.317766;11.359806;11.222249
1490;10.775937;10.266406;10.777696
1500;10.900767;10.441095;11.137675
1510;10.840200;10.757188;10.883163
1520;10.275714;10.467144;10.535205
1530;10.544871;10.221234;10.132826
1540;10.025265;10.728423;10.356742
1550;10.349163;10.292164;10.397929
1560;10.206001;10.488850;10.293101
1570;9.845290;9.864137;10.015127
1580;10.398893;9.502997;10.083309
1590;9.426822;9.650140;9.560378
1600;9.776417;9.942521;9.542110
1610;9.346364;9.204236;8.991256
1620;9.400909;9.703515;9.605350
1630;9.653971;9.267437;9.330349
1640;9.107551;9.516282;9.018159
1650;9.190022;9.529885;9.094365
1660;9.205425;8.959385;8.861636
1670;9.034593;9.395865;8.633711
1680;8.684445;9.157494;8.814687
1690;8.879722;8.805829;8.695787
1700;8.435067;8.563119;8.667508
1710;8.658694;8.621260;8.539628
1720;8.615107;8.374883;8.596103
1730;8.476818;8.666823;8.369528
1740;8.445158;8.443229;7.950529
1750;8.126633;8.321512;8.206077
1760;8.413857;7.981995;8.191984
1770;7.734997;8.018433;7.882751
1780;7.871305;7.763909;7.703697
1790;7.965707;7.837696;8.095599
1800;7.817231;7.544100;7.801383
1810;7.773302;7.316499;7.229332
1820;7.587228;7.089937;7.476770
1830;7.623840;7.463100;7.690508
1840;7.087897;7.411613;7.343537
1850;7.478856;7.105178;7.089498
1860;7.258165;7.195727;7.089381
1870;7.510793;7.000850;6.985023
1880;6.721630;6.920722;6.767244
1890;6.670190;7.002847;7.145588
1900;6.572283;6.870774;6.512931
1910;6.721379;6.556229;6.781749
1920;6.961120;6.916447;6.888947
1930;6.445546;6.684933;6.496071
1940;6.512827;6.253958;6.473809
1950;6.688516;6.667523;6.359950
1960;6.687769;6.073336;5.957983
1970;5.838062;6.442647;6.234110
1980;6.173201;6.333346;6.300381
1990;6.376216;6.389696;6.087262
2000;6.135598;6.243498;5.844977
2010;5.838920;5.923877;5.861182
2020;5.763552;6.074070;5.727888
2030;5.702234;5.596832;5.907594
2040;6.063506;5.658411;5.365453
2050;5.934599;5.282419;5.546732
2060;5.917210;6.010532;5.997434
2070;5.676773;5.542003;5.100602
2080;5.544334;5.819506;5.404413
2090;5.915931;4.982438;5.527956
2100;5.314262;4.963890;5.205867
2110;5.319508;5.753931;5.401957
2120;5.328636;5.760875;5.328657
2130;5.296227;4.864813;5.189548
2140;5.148641;4.946252;5.342881
2150;5.215123;4.851476;5.371097
2160;5.338150;5.100511;5.064523
2170;4.772284;5.315146;5.136395
2180;5.191798;5.304751;4.692130
2190;5.006067;5.222914;4.866694
2200;4.988420;4.600044;4.831147
2210;4.437216;4.665292;4.642209
2220;4.642127;5.280157;4.681626
2230;4.581724;4.488068;4.522039
2240;4.551409;5.050920;4.589182
2250;4.411509;4.342955;4.532320
2260;4.729751;4.369403;4.527654
2270;4.450842;4.149840;4.491337
2280;4.569971;4.737128;4.002594
2290;4.356948;4.323051;4.201494
2300;4.459575;4.666706;4.140173
2310;3.900897;4.100975;4.300142
2320;4.004149;3.962994;4.194321
2330;4.118742;4.121169;4.213608
2340;4.073134;4.079916;3.861172
2350;4.225530;4.234220;3.575948
2360;3.747682;3.487651;4.274901
2370;3.681241;3.499574;4.035605
2380;4.212547;3.685658;3.832636
2390;4.236011;3.647058;3.792883
2400;3.483087;4.335124;3.794678
2410;4.014362;3.635697;3.788051
2420;3.692518;3.947803;3.825673
2430;3.670720;3.267434;3.417645
2440;3.826027;3.845564;3.660419
2450;3.526004;3.764581;3.583806
2460;3.774608;3.556422;3.259908
2470;3.526241;3.412124;3.657472
2480;3.645663;3.013670;3.464816
2490;3.656201;3.283835;3.244078
2500;3.647152;3.450014;3.285132
2510;3.460650;3.596873;3.553537
2520;2.858762;3.455913;3.186594
2530;3.235223;3.434127;2.968488
2540;3.431999;2.970553;3.126738
2550;3.241739;2.950707;3.471189
2560;3.140177;3.389563;3.397737
2570;3.074166;3.099863;3.086596
2580;2.785948;3.388153;2.953610
2590;2.794781;3.368979;2.961961
2600;2.941674;3.322340;3.297272
2610;2.683884;2.767113;3.150851
2620;2.940908;2.908828;3.023110
2630;2.739060;3.068302;2.721876
2640;2.642833;2.586786;2.750978
2650;2.882049;2.873091;3.174270
2660;2.866268;2.814665;2.195759
2670;2.949118;2.879431;2.909835
2680;2.910485;2.652713;2.863411
2690;2.694401;2.632956;2.809342
2700;3.008965;2.769527;2.540299
2710;2.924966;2.610926;2.665451
2720;2.363038;2.656820;2.484569
2730;2.975344;2.883115;2.870131
2740;2.305837;2.517359;3.165045
2750;2.480393;2.585931;2.152182
2760;2.662500;2.397630;2.705240
2770;2.400881;2.175160;2.354307
2780;2.486129;2.234850;2.480353
2790;2.476658;2.058813;2.329284
2800;2.653480;2.243872;1.914410
2810;2.890548;2.659790;2.083148
2820;2.503541;1.729618;2.354128
2830;1.979333;2.367238;2.149927
2840;2.149885;2.172771;2.430399
2850;2.723588;2.000202;2.351310
2860;2.313289;2.265183;2.379819
2870;2.154722;2.632135;1.854419
2880;2.058950;1.906465;2.106297
2890;1.975789;1.550354;2.239954
2900;2.096229;2.158672;2.403622
2910;2.166309;1.950376;1.761492
2920;1.599459;2.074008;2.237387
2930;1.630373;1.897849;2.137998
2940;2.197853;2.155416;1.908786
2950;1.902669;1.999886;1.888111
2960;2.337581;2.157521;1.854168
2970;1.981571;2.178060;1.607850
2980;1.796040;1.958603;2.089721
2990;2.119394;2.209152;1.744009
3000;1.624714;1.952407;1.706560
3010;1.417380;1.473852;1.901859
3020;2.186087;1.891200;1.474413
3030;2.182611;1.889970;1.747293
3040;2.049262;1.764584;1.608880
3050;1.625716;1.960272;1.917578
3060;1.505783;1.623497;1.869603
3070;1.398287;1.670444;1.938306
3080;2.133244;1.699735;1.391409
3090;1.322582;1.625984;1.332755
3100;1.670952;2.067058;1.494924
3110;1.664905;1.557338;1.231693
3120;1.347569;1.409538;1.384501
3130;1.983919;1.465300;1.591946
3140;1.001151;1.472181;1.804235
3150;1.524862;1.516163;1.314364
3160;1.708460;1.674902;1.184130
3170;1.766990;1.478196;1.567238
3180;1.204251;1.866120;1.521462
3190;1.407528;1.564263;1.409504
3200;1.260636;1.191706;1.486095
3210;1.457317;1.429209;1.538250
3220;1.150432;1.590417;1.519611
3230;1.249431;1.252981;1.498105
3240;1.520264;1.325550;1.999927
3250;1.301205;1.313423;1.296105
3260;1.408528;1.262319;1.232032
3270;1.296039;1.464954;1.131330
3280;1.179814;1.409307;1.379311
3290;1.233702;1.536618;1.206488
3300;1.471000;1.304311;1.966767
3310;1.266733;1.065453;1.357974
3320;1.412451;0.801360;1.550623
3330;0.979363;1.564816;1.300913
3340;1.039986;1.560284;1.531434
3350;0.877127;1.391239;1.405752
3360;0.972507;1.610706;1.281560
3370;0.907068;0.970032;1.422392
3380;1.168510;1.195857;1.344845
3390;1.388261;0.879724;1.174883
3400;1.160049;1.260021;1.546914
3410;1.111739;0.919369;1.225346
3420;1.074918;0.912770;0.764280
3430;1.324912;0.947096;1.302718
3440;0.798231;1.062092;0.812378
3450;1.158255;1.073794;0.960239
3460;0.826134;1.396362;1.298890
3470;1.349456;0.881762;1.225377
3480;1.050032;1.562425;1.368324
3490;1.464293;0.841973;0.947774
3500;0.860716;1.333136;1.192730
3510;0.592561;1.102255;0.889995
3520;1.064326;1.033560;1.052672
3530;0.985899;0.540446;1.214153
3540;1.211005;0.853097;1.003692
3550;1.169023;1.086948;0.778835
3560;1.146548;1.145990;1.244507
3570;0.628479;0.840740;0.759082
3580;1.299534;1.055103;1.151969
3590;1.245107;0.907137;1.044067
3600;0.989256;1.528987;0.897981
3610;0.789892;1.130183;0.678379
3620;1.050847;0.884599;1.002715
3630;0.747197;1.045095;0.810419
3640;1.218962;1.164314;0.935460
3650;0.946328;1.081886;0.749651
3660;0.617957;0.615578;0.864511
3670;1.130391;0.957707;0.749263
3680;1.407058;1.018883;1.165564
3690;0.585333;1.095387;1.130320
3700;1.015863;0.409087;0.709770
3710;0.527951;0.989609;1.057606
3720;0.305143;0.662871;0.492129
3730;0.703718;0.648861;0.483013
3740;0.862455;0.571933;0.835787
3750;0.886205;0.879039;0.716090
3760;1.065386;0.806128;0.926385
3770;0.723769;0.718877;0.857363
3780;0.806054;0.702893;0.457996
3790;0.163382;0.444433;0.866108
3800;0.668049;0.994919;0.847490
3810;0.400773;0.515495;1.006336
3820;0.776112;0.858283;0.908262
3830;0.766471;1.150313;1.071695
3840;0.674637;0.107750;0.916936
3850;0.817828;0.457032;0.749859
3860;0.727730;0.356490;0.394655
3870;1.018778;0.853501;0.736995
3880;0.588404;-0.082948;0.653209
3890;0.578096;0.588187;0.969985
3900;0.679558;1.170491;0.651031
3910;0.498871;0.632972;0.878498
3920;0.547629;0.659512;0.478034
3930;0.476771;0.668636;0.319375
3940;0.473229;0.975599;0.487545
3950;0.455105;0.697505;0.716135
3960;0.502573;0.357362;0.693321
3970;0.672413;0.736361;0.826509
3980;0.196324;0.625187;0.427155
3990;0.491093;0.164240;0.643031
4000;0.530268;0.514380;0.868728
4010;0.823107;0.814492;0.267840
4020;0.441184;0.161130;0.257949
4030;0.857178;0.328673;0.496732
4040;0.592703;0.300062;0.566913
4050;0.703791;0.416390;0.905722
4060;0.271874;0.163589;-0.029801
4070;0.382008;0.878500;0.067168
4080;0.378594;-0.235299;0.428210
4090;0.590988;0.193241;0.510297
4100;0.634845;0.361127;0.506626
4110;0.384681;0.561586;0.855330
4120;0.435275;0.155144;0.441354
4130;0.260474;0.826908;0.454601
4140;0.451968;0.162073;0.233772
4150;0.410851;0.591302;0.237322
4160;0.730334;0.510009;0.446855
4170;0.264233;0.141535;1.046827
4180;0.019269;0.186253;0.506103
4190;0.731659;0.360962;0.028039
4200;0.521008;0.647371;0.313404
4210;-0.110445;0.170431;0.555106
4220;0.521687;0.375690;0.382051
4230;0.286402;0.266777;0.781682
4240;0.601973;0.222813;0.277948
4250;0.190938;0.753219;0.440101
4260;0.956737;0.673290;0.196864
4270;0.412817;0.522343;-0.006138
4280;0.822875;0.228609;0.060435
4290;0.264493;0.144769;0.541373
4300;0.928979;0.206998;-0.230564
4310;0.630674;0.338486;0.934965
4320;0.404075;0.407220;0.507005
4330;0.606983;0.623789;0.098986
4340;-0.149152;0.172873;0.373874
4350;0.001754;0.408030;0.503326
4360;0.462957;0.255340;0.385875
4370;0.543258;0.455140;0.648598
4380;0.338250;0.325754;0.356666
4390;-0.110396;0.481121;0.459028
4400;0.284668;0.552488;0.063515
4410;0.024540;-0.344381;0.773704
4420;0.495499;0.474619;0.718067
4430;0.764729;0.602878;0.708304
4440;0.172219;0.729017;0.078785
4450;0.185626;-0.210708;-0.007876
4460;0.090875;0.367803;0.071409
4470;0.507794;0.329211;-0.286951
4480;-0.101354;0.003069;0.618297
4490;0.203721;0.510377;0.574285
4500;0.689614;0.078960;0.231319
4510;0.287657;0.549138;0.060964
4520;0.202304;0.219260;0.273797
4530;0.130504;0.603431;0.281583
4540;0.179735;0.221192;0.468374
4550;0.384236;0.478497;0.108739
4560;0.625613;0.197630;-0.001312
4570;0.679058;0.188224;0.069247
4580;0.174553;0.332005;0.163034
4590;0.151598;0.339767;0.089506
4600;-0.374358;0.200650;0.604998
4610;-0.026313;0.496486;0.509422
4620;-0.045220;-0.164951;0.494642
4630;0.417425;0.298850;0.195272
4640;0.380678;0.332265;0.278748
4650;0.343189;0.476679;0.293592
4660;0.278559;-0.144353;-0.001752
4670;0.191103;0.487694;0.545951
4680;-0.006119;0.188535;-0.106091
4690;0.297046;0.221402;0.187728
4700;0.438676;0.198520;0.361956
4710;0.180091;-0.036375;0.047810
4720;0.252992;0.292933;0.069260
4730;0.681148;0.387641;0.084951
4740;0.609361;0.216649;0.179497
4750;0.047795;0.177785;0.272005
4760;0.170711;0.231574;0.063608
4770;0.385143;0.073564;0.376320
4780;-0.211723;0.139740;0.439135
4790;0.546507;0.516902;-0.027155
4800;0.139334;0.503683;0.008334
4810;0.401539;0.213383;0.095149
4820;0.064468;0.460085;0.155532
4830;0.742381;0.249051;0.290677
4840;0.103927;0.241064;0.166282
4850;0.089926;0.042627;0.380177
4860;0.105955;0.325377;0.293277
4870;0.476158;0.003063;0.225159
4880;0.409255;0.061329;-0.315629
4890;0.215196;-0.287347;0.302241
4900;-0.021941;0.368880;0.422463
4910;-0.057425;0.241809;0.222359
4920;0.109998;0.487189;0.161000
4930;0.223571;0.508628;-0.019732
4940;0.074787;-0.019306;-0.033342
4950;0.455567;0.481159;-0.161191
4960;0.311906;0.146251;0.053534
4970;-0.036818;0.133413;-0.053410
4980;0.171669;-0.003070;0.019290
4990;0.262600;0.892048;0.124746
5000;-0.413310;-0.079905;0.294701
