Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
710;5.186787;4.781340;5.250773;5.047211;5.362225
720;5.052487;5.179398;5.160876;5.042590;5.024570
730;5.164741;4.871325;5.043770;5.127381;5.182981
740;5.256173;4.896835;4.759291;4.989511;5.335253
750;4.882802;5.246287;5.042926;4.622912;4.724116
760;4.666727;4.809493;4.848425;4.735156;4.733737
770;4.897788;4.666907;4.912424;4.695490;4.983959
780;4.855428;4.712388;4.684691;4.611139;4.880582
790;4.680707;4.687256;4.571766;4.744382;4.496206
800;4.424331;4.711601;4.798244;4.738551;4.903321
810;4.367958;4.589553;4.631236;5.129363;3.970368
820;4.598241;4.948898;4.906666;4.494809;4.683388
830;4.506589;4.705347;4.289141;4.551159;4.429821
840;4.523626;4.441166;4.304452;4.708951;4.493834
850;4.382087;4.384582;4.606962;4.451106;3.996423
860;3.956259;4.343904;4.225527;4.220707;4.436498
870;4.400386;4.369615;4.302490;4.168332;4.113514
880;4.439705;4.367729;4.266230;3.843980;4.317991
890;4.283572;4.013775;4.279852;4.301331;4.260257
900;4.244618;4.151348;4.260684;4.249370;3.914877
910;4.070325;4.323396;3.910274;4.231943;3.983212
920;3.944303;4.067991;3.902219;4.010004;4.231067
930;4.160019;3.961195;3.933397;4.095236;3.937962
940;3.812912;4.228931;4.058363;3.851781;3.965997
950;4.108495;3.743978;4.142976;3.629035;3.993109
960;4.219331;3.995665;3.987185;3.640946;4.114790
970;3.434597;3.596929;3.881576;3.517271;3.795849
980;3.937736;3.549974;3.855780;3.844795;3.626456
990;3.720221;3.743677;3.616666;3.927940;3.624095
1000;4.022457;3.612607;3.925175;3.874336;3.397309
1010;3.749083;3.688185;3.793902;3.572985;3.857728
1020;3.878610;3.576528;3.338678;3.634448;3.599412
1030;3.591244;3.714268;3.879991;3.691122;3.565612
1040;3.511202;3.779100;3.669086;3.538267;3.755745
1050;3.553534;3.642844;3.523470;3.589272;4.053167
1060;3.540710;3.461956;3.750561;4.038455;3.445822
1070;3.102315;3.621658;3.535535;2.950101;3.386242
1080;3.487339;3.468540;3.518429;3.273586;3.211663
1090;3.250872;3.414278;3.705860;3.350937;3.447495
1100;3.214988;3.641827;3.294035;3.233215;3.093059
1110;3.100304;2.968749;3.130092;3.345692;3.362998
1120;3.078494;3.224194;3.211239;3.222420;3.395331
1130;3.049315;3.332425;2.858471;3.268611;3.098257
1140;3.330147;3.425650;3.296938;3.049953;3.190336
1150;3.348008;3.185768;2.838046;3.238153;3.143674
1160;3.488360;3.171097;3.076441;2.839853;3.110325
1170;3.164374;3.300677;3.143719;3.338634;2.733199
1180;3.039685;3.243319;2.760438;3.145516;2.936126
1190;3.089208;3.069507;3.308087;3.166533;2.765688
1200;2.945244;2.993909;3.223248;2.657243;2.788551
1210;2.866306;3.060959;2.949206;2.773925;2.905914
1220;2.855576;2.876813;2.478746;3.009727;2.696495
1230;2.854891;2.815455;3.045438;2.913147;2.538920
1240;2.980356;2.957565;2.953733;2.926186;2.882465
1250;2.931519;2.853864;2.702871;2.633030;3.056801
1260;2.804640;2.759505;2.701716;2.983069;2.800513
1270;2.664285;2.836796;2.864281;2.463032;2.618978
1280;2.905439;2.928495;2.823010;2.672141;2.724849
1290;2.905881;2.452329;2.900499;2.826657;2.711768
1300;3.063779;2.615972;2.516129;2.892934;2.798311
1310;2.477772;2.664907;2.647440;2.572504;3.067357
1320;2.669591;2.552133;2.612985;2.853383;2.688617
1330;2.542629;2.583715;2.641765;2.557190;2.604567
1340;2.444622;2.458228;2.731654;2.654371;2.659546
1350;2.484278;2.499952;2.488796;2.518813;2.699056
1360;2.291831;2.505963;2.617182;2.110466;2.649790
1370;2.536548;2.510312;2.306803;2.362905;2.397459
1380;2.408958;2.328224;2.548789;2.569465;2.599332
1390;2.552641;2.469170;2.611325;2.686205;2.127548
1400;2.332336;2.300449;2.004985;2.256184;2.631357
1410;2.221677;2.396584;2.374464;2.295940;2.168916
1420;2.352645;1.996520;2.633931;2.452564;2.594015
1430;2.534437;2.850214;2.442675;2.484339;2.386072
1440;2.096033;2.253878;2.282362;2.454342;2.024710
1450;2.145148;2.206866;2.236744;2.073880;1.938716
1460;2.320325;1.795956;2.433027;2.298538;2.297958
1470;2.302286;2.005204;2.462271;2.344325;2.101590
1480;2.194765;2.150757;2.458501;2.155784;2.086641
1490;2.525586;2.257259;2.122447;2.421006;2.056520
1500;2.176512;2.208396;1.912964;2.242044;2.095087
1510;2.137882;2.223780;2.000367;1.990069;2.238375
1520;2.106263;2.368336;2.011756;2.254738;2.282386
1530;2.172145;1.960574;1.895354;2.015242;2.103241
1540;2.165154;2.140847;2.091512;2.081404;2.125710
1550;2.212798;1.924590;1.752309;2.436059;2.161876
