Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
1350;5.183616;5.003403;4.991065
1360;4.805597;5.466553;4.780552
1370;5.078017;4.774447;4.798720
1380;5.090226;4.865581;4.741177
1390;4.808057;4.701433;4.684988
1400;4.809595;4.569214;5.041571
1410;5.103723;4.827392;4.493719
1420;5.315331;4.558791;5.054384
1430;4.288591;4.438494;4.642346
1440;4.925059;4.845869;4.603308
1450;4.845319;4.623475;4.851819
1460;4.492016;4.552419;4.984010
1470;4.396389;5.008768;4.533275
1480;4.574485;4.803011;4.714645
1490;4.451988;4.606293;5.094119
1500;4.925564;4.559048;4.734385
1510;4.777187;4.693619;4.357423
1520;4.439181;4.518107;4.525325
1530;4.248900;4.948366;4.673595
1540;4.762463;4.245612;3.906497
1550;4.430606;4.407312;4.288726
1560;3.924424;4.721379;4.235927
1570;4.562513;4.284635;4.508519
1580;4.658448;4.447828;4.631022
1590;4.265045;4.618161;3.983807
1600;4.823192;4.310567;4.452679
1610;4.544680;4.584999;4.512622
1620;4.319472;4.769798;4.592200
1630;4.938704;4.305612;4.080422
1640;4.182642;4.599404;4.703376
1650;4.346667;4.246213;4.489093
1660;4.472224;4.420543;4.464968
1670;4.099635;4.784239;4.165673
1680;4.484124;4.350920;4.272457
1690;4.087832;4.454693;4.518326
1700;4.233393;4.258894;4.730032
1710;4.442917;3.972776;4.583353
1720;4.283199;4.011934;4.243064
1730;4.678689;4.432110;4.326753
1740;4.093885;4.306223;4.720183
1750;4.343118;4.199043;4.360423
1760;4.484132;4.092484;4.570145
1770;4.761713;4.353705;4.284374
1780;4.044661;4.390906;4.332505
1790;4.301206;4.296547;4.166862
1800;4.204261;4.700046;4.462570
1810;4.372910;4.218111;4.357125
1820;4.474145;4.375645;3.764181
1830;4.224410;4.389027;4.243709
1840;4.157976;4.144652;4.208187
1850;4.428391;4.608355;3.958088
1860;4.019309;3.806497;4.232525
1870;4.180657;3.777608;4.472720
1880;4.237313;4.295873;3.964589
1890;4.231141;4.209019;4.041570
1900;4.149456;4.103078;3.629880
1910;4.352040;4.390357;4.323437
1920;4.542420;4.304766;4.369926
1930;4.115958;3.821257;4.383505
1940;4.506397;4.214185;4.336277
1950;4.297161;4.322665;4.163644
1960;4.526080;3.992501;4.086732
1970;4.346518;4.619065;4.486539
1980;4.266856;4.139681;4.004909
1990;4.369389;4.158120;4.087484
2000;4.017628;4.032136;4.294301
2010;4.129802;4.187279;4.316594
2020;4.311787;4.216668;3.937208
2030;4.191347;4.280797;3.966852
2040;4.193745;4.493771;3.704939
2050;4.173635;4.141751;4.238242
2060;4.013516;4.046367;3.499428
2070;4.294267;4.165391;4.466716
2080;4.082383;3.885291;4.318480
2090;3.774426;3.892462;4.142022
2100;4.203661;4.150704;4.143492
2110;4.140080;4.458046;3.861230
2120;4.177613;4.208096;4.261194
2130;4.198798;4.260654;4.347940
2140;4.204421;4.384775;4.009403
2150;4.668300;4.498414;4.241286
2160;4.190873;3.901584;4.000966
2170;4.088026;4.670722;3.960072
2180;3.667016;3.610088;4.333238
2190;4.066061;4.171105;3.939476
2200;3.678809;3.800961;4.289128
2210;4.326908;3.944414;4.177300
2220;3.954849;4.101352;4.276464
2230;4.260654;4.316574;3.804477
2240;3.750880;4.478662;4.074014
2250;3.950441;4.579304;4.098640
2260;4.209260;4.146085;3.914837
2270;4.214224;4.429282;4.103648
2280;4.483793;4.196797;4.283348
2290;4.122032;4.368660;4.046022
