Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.252412;-0.518165;-0.037420;-0.100417;-0.031723
-390;-0.372384;-0.112044;-0.204228;-0.198672;-0.228295
-380;-0.192588;-0.281365;-0.366286;0.158151;-0.529955
-370;-0.151398;-0.014384;-0.641283;-0.232202;-0.137783
-360;-0.206726;-0.027323;-0.478282;-0.291647;-0.427794
-350;-0.036195;-0.269779;-0.409505;0.077362;-0.351216
-340;-0.365933;-0.062230;-0.217536;-0.002403;-0.433103
-330;-0.188122;-0.052106;0.004317;-0.004809;-0.190340
-320;-0.181817;0.192748;-0.365244;-0.004804;-0.120127
-310;0.032975;-0.501899;-0.355618;-0.340849;0.073458
-300;-0.067423;-0.127353;-0.272938;-0.181537;-0.162657
-290;0.042170;-0.195805;-0.190424;-0.834726;-0.106248
-280;-0.360593;-0.012916;-0.106915;-0.631303;0.045634
-270;-0.028247;-0.306081;-0.234259;-0.319983;-0.308033
-260;-0.189607;0.162709;0.000959;0.034125;0.040846
-250;-0.361791;-0.205436;-0.260139;-0.622064;-0.485861
-240;-0.508745;-0.356565;0.009601;0.121114;-0.302299
-230;-0.289508;-0.167478;0.209767;-0.194315;-0.179287
-220;-0.245640;-0.408797;-0.643141;0.138988;-0.265381
-210;0.256417;-0.261801;-0.317322;-0.003842;-0.288183
-200;-0.149881;-0.369365;-0.218857;0.001440;-0.296838
-190;-0.333676;-0.114430;0.076711;-0.118667;-0.003848
-180;-0.136832;-0.587919;-0.257191;-0.350435;-0.554172
-170;-0.118678;-0.700442;-0.196265;-0.490392;-0.201643
-160;0.171191;-0.370724;0.226879;-0.519248;-0.707932
-150;0.073082;-0.393755;-0.525788;-0.442867;-0.440823
-140;0.043302;-0.461956;-0.212976;-0.227556;-0.461357
-130;-0.076436;-0.114173;0.087388;-0.292950;-0.128385
-120;-0.270407;-0.554986;-0.337557;-0.758958;-0.025002
-110;0.120851;-0.291335;0.027359;-0.336893;0.002404
-100;0.015887;-0.328746;-0.538470;-0.248962;-0.052324
-90;0.259563;-0.552042;-0.090282;-0.045219;-0.443111
-80;-0.510963;0.033960;0.144838;-0.570832;-0.388615
-70;-0.366689;0.028711;0.003847;-0.040886;-0.933986
-60;-0.028417;-0.540263;-0.559946;-0.270659;-0.267670
-50;-0.122818;-0.312905;-0.430049;-0.506483;-0.272120
-40;-0.229479;-0.114391;0.017748;-0.245895;-0.578242
-30;-0.592512;-0.215460;-0.075344;-0.249046;-0.271003
-20;-0.245820;-0.618645;-0.254920;-0.075541;0.053793
-10;0.275847;0.308259;0.089337;0.363859;-0.054824
0;2.138597;2.048593;1.632290;2.282187;1.730328
10;3.825753;3.925892;4.026678;3.821897;3.948901
20;5.468564;5.567239;5.589981;5.915343;5.671937
30;7.581364;7.462240;7.372524;7.074139;7.432110
40;9.239492;9.337463;9.010565;9.080957;9.317926
50;10.705297;10.845679;10.764311;10.888420;10.453034
60;11.974568;12.217529;12.563057;12.366904;12.350364
70;13.384500;14.106274;13.950320;13.874283;14.621371
80;15.487616;15.549738;14.982162;15.503946;15.213462
90;16.725322;16.967100;16.964570;16.978296;17.376219
100;18.564672;18.539072;18.698105;18.295043;18.547327
110;19.663999;19.568092;19.746619;20.019576;20.037541
120;20.759062;21.083865;20.535972;20.385363;20.568192
130;20.286757;20.393805;20.553783;20.383891;20.707841
140;20.290109;19.941948;20.002272;20.039171;20.551531
150;19.613850;20.253622;20.323689;20.118042;20.057709
160;19.772315;19.546334;20.138830;19.666924;19.814422
170;19.484024;19.276336;19.144210;19.243984;19.254046
180;18.991034;19.503251;19.353446;19.557975;18.850783
190;19.139744;19.510535;18.836868;18.855795;18.807086
200;18.541385;18.176205;18.727048;18.680923;18.905357
210;18.220214;18.542137;18.728935;18.557779;18.332566
220;18.220498;18.386535;18.635830;17.914428;18.118095
230;17.909252;18.285187;18.069558;17.717230;17.700436
240;17.824329;17.943711;17.864403;17.580678;18.120279
250;17.276781;17.160150;17.900271;17.750123;17.661850
260;17.452753;17.587108;17.232554;17.300435;17.226186
270;16.975652;17.135863;17.089663;16.739397;17.437731
280;16.768085;17.057267;16.783448;16.675075;16.999404
290;16.543259;16.243835;16.602954;16.682568;16.542143
300;16.432419;16.618906;16.217655;15.981581;16.707169
310;16.201395;16.457459;16.314230;16.176129;15.993541
320;16.193321;16.134161;16.135928;16.293812;16.195161
330;15.334063;15.460384;15.831047;15.637561;15.968616
340;15.626797;15.576260;15.465022;15.713743;15.750017
350;15.546135;15.408133;15.325625;15.437599;15.542956
360;15.397160;15.262743;15.223457;15.075113;15.126613
370;15.255527;14.885914;14.576340;14.765918;15.059817
380;14.632145;14.661478;14.763717;14.847600;15.077376
390;14.635298;14.656230;14.407832;14.735556;14.507472
400;14.489882;14.460295;14.409280;14.394712;13.981582
410;14.539896;14.328674;14.385821;14.331672;14.165779
420;14.117771;14.260240;13.962532;14.197765;14.751489
430;13.788207;13.960918;13.930783;14.022386;13.828973
440;13.767265;13.536471;13.580055;13.817205;13.805726
450;13.422315;13.953630;13.483497;13.097587;13.702127
460;13.248742;13.234508;13.440718;13.632945;13.726978
470;13.110849;13.259055;13.538405;13.287241;12.955937
480;13.031326;13.087511;12.503789;13.059884;13.072989
490;12.945680;12.507279;12.879799;12.888102;12.813064
500;12.852252;12.952812;12.988873;12.781636;12.953740
510;12.528482;13.014685;12.597195;12.390539;12.609345
520;12.065601;12.110824;12.430619;12.102392;12.383420
530;12.360227;12.692045;12.098964;12.485295;12.266331
540;11.988064;12.183388;12.036595;12.108285;12.420998
550;11.644237;11.770822;11.711787;11.936032;11.528518
560;11.716002;11.644373;11.536680;11.369248;11.425711
570;11.456256;11.791713;11.061066;11.331332;11.846528
580;11.301691;11.033505;11.150899;11.272336;11.774698
590;10.832628;11.356647;11.618983;11.448520;11.407230
600;11.245100;10.948610;11.001851;11.339245;11.264748
610;10.598664;11.128221;10.948615;10.688353;11.102214
620;11.335661;11.068281;11.066843;11.076170;11.028709
630;11.244080;10.434205;10.781499;10.459134;10.546253
640;10.734202;10.445408;10.549716;10.669643;10.636308
650;10.463886;10.235432;10.523095;10.577446;10.359450
660;10.044462;10.442380;10.170613;9.748375;10.279271
670;10.402719;9.994597;10.161555;9.905375;10.074404
680;9.673308;10.053967;10.038863;10.110967;9.776368
690;9.819535;10.156553;9.752429;10.147472;9.897024
700;9.779467;9.412801;10.058696;9.532875;9.640657
710;9.675051;10.273616;9.773265;9.394726;9.886570
720;9.425574;9.466658;9.422870;9.321156;9.562599
730;9.322000;9.186505;9.130053;9.367856;9.325680
740;9.323895;9.074377;9.070543;9.337927;9.300044
750;9.319560;9.227747;9.078515;9.054110;9.321283
760;8.686580;8.672086;9.169298;9.236655;8.638979
770;9.292711;9.230932;9.168482;9.195333;8.954955
780;8.665694;8.851506;8.393258;8.716966;8.854476
790;8.911479;8.768554;8.618549;8.790682;8.899746
800;8.723231;8.351902;8.515734;8.500338;8.197795
810;8.386063;8.594290;8.548199;8.263221;8.276326
820;8.462951;8.485703;8.160803;8.532255;8.239664
830;8.570400;8.420295;8.293196;8.541381;8.266993
840;8.242169;7.816063;7.934753;8.106795;7.833719
850;7.960736;8.369825;7.797826;8.279196;8.162201
860;8.063590;7.865075;7.517414;8.187037;8.036937
870;7.585190;7.645925;8.085274;7.725167;8.000793
880;7.586977;7.772907;8.084093;7.872126;7.604671
890;7.975745;7.294808;7.582054;7.374388;7.333783
900;7.147133;7.937970;7.543421;7.575915;7.768577
910;7.467258;7.442125;7.603297;7.047872;7.530745
920;7.591942;7.598883;7.313404;7.424526;7.285875
930;7.401455;7.273093;7.733129;7.433259;7.649809
940;7.313272;7.212359;7.135443;7.189746;6.975117
