Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.164445;-0.733463;-0.597393;-0.280979;-0.200608
-390;0.183236;-0.709219;-0.161448;-0.274438;-0.237046
-380;-0.683544;-0.466580;-0.286385;-0.684447;-0.485335
-370;-0.084865;-0.313573;-0.092128;-0.498502;-0.680666
-360;-0.610642;-0.290655;-0.738953;-0.363488;-0.179508
-350;-0.121741;-0.196563;-0.495945;-0.375526;-0.338912
-340;-0.336427;-0.034661;-0.436102;-0.647853;-0.494618
-330;-0.610508;-0.353806;-0.300431;-0.234413;0.070553
-320;0.116608;-0.501043;-0.514556;-0.013342;-0.264158
-310;-0.278768;-0.244413;-0.305898;-0.697872;-0.029392
-300;-0.193430;-0.508402;-0.941269;-0.576663;-0.184405
-290;-0.714461;-0.688065;-0.060917;-0.343880;-0.863752
-280;-0.411502;-0.413517;-0.556843;-0.308207;-0.233134
-270;-0.352295;-0.171868;-0.557601;-0.218776;-0.395218
-260;-0.312908;-0.526051;-0.310152;-0.378848;-0.473853
-250;-0.526843;-0.090883;0.119064;-0.491375;-0.264147
-240;-0.515975;-0.282224;-0.206883;-0.522999;-0.548059
-230;-0.587842;0.141834;-0.257754;-0.284379;-0.598641
-220;-0.130675;-0.606884;0.293789;-0.056640;-0.855022
-210;-0.538111;-0.174973;-0.181759;-0.139498;-0.251553
-200;0.024281;-0.294651;-0.365747;-0.087600;-0.500600
-190;-0.376688;-0.071982;-0.224935;-0.071601;0.391302
-180;-0.220746;-0.280535;-0.285500;-0.514808;-0.721963
-170;-0.335318;-0.085613;0.008472;-0.251618;-0.130536
-160;-0.383920;-0.447986;-0.428782;-0.162968;-0.717406
-150;-0.144578;-0.483902;-0.498285;-0.486237;-0.086708
-140;-0.395675;-0.268697;-0.322549;-0.503173;-0.107453
-130;-0.370372;-0.502391;-0.710176;-0.084988;-0.236503
-120;-0.516002;-0.017870;-0.633762;-0.521571;0.051307
-110;-0.784405;-0.575895;-0.633500;-0.281415;0.026727
-100;-0.404039;-0.349537;-0.286061;-0.204003;-0.643660
-90;-0.155528;0.049429;-0.459055;-0.702477;-0.551064
-80;-0.387433;-0.309514;-0.588383;-0.349608;-0.219159
-70;0.006473;-0.187589;-0.254203;-0.446664;-0.321117
-60;-1.195182;-0.341854;-0.432784;-0.400987;-0.211741
