Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.279748;-0.224770;-0.315613;-0.077893;-0.200563
-390;-0.349258;-0.606643;-0.305198;-0.360290;-0.267744
-380;-0.101949;-0.063177;-0.364567;-0.256112;-0.434146
-370;-0.289481;-0.241522;-0.115804;-0.411843;-0.244528
-360;-0.709864;-0.273910;-0.384998;-0.189388;-0.308141
-350;-0.125143;-0.147744;-0.432188;-0.220644;-0.303685
-340;-0.423245;-0.214005;-0.189914;-0.346065;0.092920
-330;-0.280204;-0.010705;-0.392405;-0.263761;-0.509338
-320;-0.225021;-0.340638;0.055035;-0.242765;-0.306714
-310;-0.155673;-0.188866;-0.376844;-0.131444;-0.216386
-300;-0.044294;-0.599328;-0.233883;-0.207555;0.111301
-290;-0.444000;-0.361401;-0.237390;-0.404904;-0.271352
-280;-0.379820;-0.542687;-0.110217;-0.234755;-0.191644
-270;-0.147819;-0.228510;0.027766;-0.186304;-0.440017
-260;-0.132132;0.076748;-0.312006;-0.251792;-0.373387
-250;-0.143766;-0.392302;-0.411081;-0.304664;-0.413536
-240;-0.121347;-0.321546;-0.548981;-0.393712;-0.281153
-230;-0.493474;-0.110690;-0.513934;-0.202601;-0.372827
-220;-0.059158;-0.056629;-0.551699;-0.427282;-0.571376
-210;-0.021677;-0.223506;-0.124398;-0.381980;-0.197971
-200;-0.202341;-0.401245;-0.198234;-0.351037;-0.322359
-190;0.205169;-0.429355;-0.107715;-0.505989;-0.071872
-180;-0.160358;-0.239704;-0.252394;-0.196131;-0.474108
-170;-0.297463;-0.374866;-0.142497;-0.210192;-0.065479
-160;-0.411758;-0.248910;-0.116611;-0.591794;-0.409640
-150;0.084734;-0.397039;-0.449859;-0.379037;-0.295389
-140;-0.297965;-0.336951;-0.318696;0.159467;-0.260769
-130;0.039904;-0.249737;-0.298989;-0.131861;-0.274087
-120;-0.756759;-0.233807;-0.378599;-0.393609;-0.099444
-110;-0.514751;-0.181937;-0.183995;-0.359503;-0.277238
-100;-0.085606;-0.320035;-0.119957;-0.414911;-0.425070
-90;-0.106952;-0.003566;-0.219707;-0.342492;-0.272541
-80;-0.525756;-0.257271;-0.129226;-0.163327;-0.420563
-70;-0.281101;-0.411520;-0.253148;-0.194396;-0.428828
-60;-0.294798;-0.412040;-0.272277;-0.232663;-0.167719
-50;-0.260851;-0.442672;-0.438184;-0.359393;-0.150544
-40;-0.402116;-0.424329;-0.305453;-0.193611;-0.263109
-30;-0.190317;-0.288671;-0.155223;-0.382415;-0.697482
-20;-0.426100;-0.169902;-0.346460;-0.096854;-0.352327
-10;0.416490;0.296057;0.516567;0.001793;0.415389
0;1.844832;1.902055;2.214225;2.216304;2.159575
10;4.509535;3.993397;3.685088;4.454433;4.188560
20;6.318460;6.080230;6.061883;6.186429;5.971801
30;7.935866;7.746061;7.925706;8.061964;7.696942
40;9.851625;9.657791;9.578026;9.446681;9.749783
50;11.791435;11.544134;11.469435;11.677195;11.511248
60;13.495719;13.124918;13.195618;13.321597;13.554679
70;15.128193;15.058086;14.624134;14.820537;14.915840
80;17.145182;16.808223;16.399462;16.319639;16.723604
90;18.131319;18.219632;17.947776;18.219555;18.450373
100;20.444477;19.663245;19.925886;19.813491;19.960907
110;21.657382;21.201685;21.611178;21.426666;21.755020
120;22.988471;22.385846;22.165617;22.204561;22.762287
130;22.494754;21.938355;22.170018;22.311200;22.226262
140;21.934898;21.574851;21.759588;21.622752;21.602496
150;21.840137;21.329450;21.345079;21.321035;21.942428
160;21.559119;21.169429;21.245740;21.124189;23.912862
170;21.012263;20.790040;20.772490;20.412077;25.367856
180;20.575262;20.347933;20.170044;20.512728;24.489418
190;20.112665;19.845696;20.057506;20.254183;24.656005
200;20.060765;20.196795;19.990195;19.745137;24.061102
210;19.541033;19.483344;19.690633;19.651537;24.119111
220;19.428149;19.041914;19.285281;19.195924;23.903553
230;19.208380;18.651520;19.227940;19.086699;23.328973
240;19.009343;18.668393;18.755982;18.677153;22.999511
250;18.575801;18.285664;18.208049;18.436692;22.597929
260;18.428815;18.177529;18.459036;18.229300;22.068886
270;18.264189;17.770408;18.023888;17.834624;21.771512
280;17.728668;17.336757;17.920671;17.645991;21.858122
290;17.698419;17.286331;17.517853;17.507599;21.390837
300;17.340026;17.339513;17.081907;16.899738;21.048898
310;17.135897;17.046525;17.023141;16.789137;20.828951
320;16.876519;16.718637;16.719362;16.602206;20.678568
330;16.710735;16.325741;16.434438;16.595385;20.031991
340;16.284238;16.681026;16.095466;16.179868;19.962942
350;15.887704;15.996791;16.151719;16.240670;19.491231
360;16.317237;15.833782;15.650388;15.813476;19.377734
370;15.762424;15.543509;15.510632;15.675688;18.797032
380;15.406443;15.352965;15.157528;15.505043;18.741283
390;15.570450;15.066549;15.175640;15.236824;18.248554
400;15.397000;14.994670;14.582557;15.101049;17.159451
410;15.072536;14.574464;14.798708;14.833914;14.923485
420;15.071103;14.570464;14.638439;14.228506;14.496264
430;14.465567;14.009162;14.566359;14.149248;14.277848
440;14.178004;14.161212;14.133936;14.225376;14.004067
450;13.754659;13.830040;14.104352;13.868396;13.470843
460;13.916228;13.598456;13.928969;13.894475;13.515906
470;13.646112;13.345349;13.704707;13.658767;13.528255
480;13.428876;13.316267;13.155086;13.160666;13.278607
490;13.458734;13.232808;13.020996;12.806907;13.118865
500;13.027614;12.919577;13.105320;12.816723;12.698124
510;12.992252;12.784360;12.789141;12.796972;12.568980
520;12.568324;12.730150;12.609428;12.498525;12.452138
530;12.535665;12.671338;12.164496;12.389485;12.302608
540;12.491230;12.201235;11.964567;12.173577;12.367775
550;12.419982;12.356551;12.277681;11.807666;11.732845
560;12.056784;11.698936;11.910779;12.152213;12.318793
570;11.811160;11.746324;12.044236;11.554947;11.693331
580;11.788396;11.559889;11.495022;11.564879;11.502311
590;11.341256;11.513702;11.672318;11.291205;11.260837
600;11.669369;11.015794;11.220290;11.147680;11.434603
610;11.413078;10.773921;11.126866;11.094950;11.134384
620;10.913869;10.654890;10.838087;11.169505;11.000408
630;10.747119;10.656187;10.987050;10.720035;10.831960
640;10.570547;10.732925;10.649960;10.393237;10.667177
650;10.653536;10.541901;10.500770;10.318122;10.381183
660;10.604736;10.174901;9.862033;10.395878;10.415535
670;10.144082;10.100843;10.163380;10.318646;10.131155
680;10.107844;10.166351;10.200532;10.274121;9.984872
690;10.022021;9.975040;9.857002;10.309648;9.490130
700;9.921020;9.695892;9.844740;9.952154;9.759797
710;9.925936;9.624787;9.716255;9.575043;9.313860
720;9.605666;9.664424;9.760218;9.539066;9.417475
730;9.424595;9.432860;9.500774;9.328475;9.196622
740;9.472010;9.544597;9.614082;9.623168;9.011904
750;9.224480;9.250984;9.417013;9.234400;8.949516
760;9.279752;9.115262;9.179909;8.845809;9.242966
770;9.056494;8.825429;9.000740;9.126496;9.022687
780;8.966532;8.910731;8.983268;8.891145;8.822464
790;8.673765;8.426327;8.740106;8.631116;8.462799
800;8.805236;8.685279;8.723626;8.614753;8.491119
810;8.757757;8.575928;8.683092;8.356832;8.099933
820;7.896329;8.563106;8.581345;8.227421;8.424120
830;8.445484;8.205799;8.494016;8.286681;8.106486
840;8.385291;8.381906;8.333343;8.119114;8.019473
850;8.302932;8.272739;7.966655;8.044072;8.207853
860;7.708941;7.994121;7.926583;7.773657;8.108646
870;7.921244;7.987782;7.925036;7.889564;7.968157
880;7.556180;7.676973;7.564101;7.692071;7.763930
890;7.655832;7.538434;7.849479;7.584993;7.580699
900;7.488000;7.679936;7.783319;7.277747;7.765276
910;7.627578;7.441783;7.553450;7.456209;7.641631
920;7.559747;7.227436;7.424502;7.229605;7.345831
930;7.496258;7.385796;7.531498;7.671701;7.083115
940;7.459765;7.480881;7.490839;7.509043;6.933467
950;7.075623;7.228844;6.981383;7.196048;7.326125
960;7.082531;7.097140;6.890959;6.972636;7.061210
970;7.280904;7.179990;7.182483;6.963548;6.691898
980;6.790543;6.742718;6.667888;7.028527;6.938793
990;6.799070;6.721818;6.888485;6.986550;6.981394
1000;6.582975;6.941736;6.795896;6.855812;6.458017
1010;6.677124;6.299419;6.623715;6.878644;6.527978
1020;6.446337;6.192542;6.612578;6.579571;6.508765
1030;6.216671;6.688103;6.482153;6.644622;6.400465
1040;6.493344;6.489057;6.263899;6.365495;6.636314
1050;6.450023;6.512585;6.459563;6.183416;6.113576
1060;6.327542;6.301124;6.221596;6.310748;6.264359
1070;5.612223;6.239441;6.309430;6.396203;6.148516
1080;6.135272;5.895107;6.217972;6.199906;5.991371
1090;5.791557;5.922154;6.099008;5.936973;6.063966
1100;6.326483;5.869110;5.561498;5.785837;5.886027
1110;5.959066;5.504799;6.144822;5.726128;5.802542
1120;5.520256;5.617349;5.856218;5.628782;6.012282
1130;6.005984;5.727913;5.719499;5.747943;5.673263
1140;5.804361;5.663113;5.390853;5.687427;5.649460
1150;5.444599;5.340218;5.361875;5.290783;5.915897
1160;5.355527;5.611292;5.729551;5.504317;5.657813
1170;5.454125;5.275812;5.647824;5.300740;5.374005
