Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
670;8.393202;8.039937;8.275260;8.177467;8.261114
680;8.316555;8.352777;8.358885;7.990467;7.998870
690;8.362983;8.319197;7.804766;7.770056;8.340561
700;8.391443;8.145396;8.111618;7.739980;7.868129
710;8.229053;7.823820;7.777572;7.947644;8.070410
720;7.727779;7.709266;7.547029;7.694881;7.679569
730;8.175473;7.847325;7.509124;7.532202;7.735924
740;7.594401;7.353767;7.405457;7.577281;7.697067
750;7.892045;7.360862;7.381156;7.245835;7.548693
760;7.250195;7.308615;7.378549;6.928520;7.225929
770;7.442842;7.227096;7.167517;6.841742;7.388054
780;7.144484;7.192124;7.223702;7.285110;6.679341
790;7.107592;7.189716;7.186767;6.901798;6.992598
800;7.045231;7.245511;6.890606;7.130768;6.985017
810;6.974860;6.474631;6.763152;6.524519;6.840239
820;6.799334;6.743882;6.870262;6.638662;6.929081
830;7.076062;6.587081;6.607696;6.425823;6.457293
840;6.853879;6.281274;6.360747;6.897770;6.862599
850;6.768337;6.698441;6.317737;6.514573;6.467500
860;6.621337;6.119904;6.506138;6.746911;6.324096
870;6.494842;6.137451;6.207736;6.254968;6.305475
880;6.261427;6.290990;6.497351;6.373756;5.976668
890;6.483459;6.374119;6.099549;6.262514;6.319994
900;6.157027;6.207536;5.878093;6.251256;6.218835
910;6.304889;6.363993;6.012389;6.085115;6.126110
920;5.806550;6.303849;5.822691;5.769437;5.860603
930;5.723554;6.077356;6.081757;5.660105;5.516481
940;6.063889;5.731547;5.598714;5.480515;5.907856
950;5.700394;5.609925;5.943056;5.509075;5.835151
960;5.663031;5.696351;5.572425;5.690470;5.349675
970;5.658501;5.690444;5.859608;5.724373;5.598722
980;5.681310;5.419266;5.620201;5.296624;5.385837
990;5.788668;5.445364;5.699465;5.361766;5.346988
1000;5.429647;5.181191;5.283668;5.439230;5.455912
1010;5.421892;5.260122;5.380816;5.508833;5.280433
