Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;-0.382476;-0.357346;-0.403775
-390;-0.469687;-0.260970;0.146849
-380;-0.459131;-0.033978;-0.322833
-370;-0.327921;-0.571616;-0.485106
-360;-0.276479;-0.182000;-0.387501
-350;-0.253718;-0.406384;0.083695
-340;-0.386368;-0.385913;-0.277957
-330;-0.467895;-0.306742;-0.474645
-320;-0.039991;-0.461287;-0.484729
-310;-0.072754;-0.038789;-0.516428
-300;-0.426316;-0.581394;-0.404247
-290;-0.146891;-0.342149;-0.344866
-280;-0.349620;0.025453;-0.485257
-270;-0.303684;-0.481337;0.060666
-260;-0.504024;-0.448501;-0.121386
-250;-0.654756;-0.272942;-0.508054
-240;-0.274456;-0.204813;-0.149134
-230;-0.283969;-0.087316;-0.291052
-220;-0.113049;-0.473570;0.189019
-210;-0.184533;-0.446018;-0.316209
-200;-0.135979;-0.552254;-0.217140
-190;-0.408091;-0.152771;-0.525144
-180;-0.605400;-0.129734;-0.263598
-170;-0.651661;-0.450709;-0.415862
-160;-0.387449;-0.151549;-0.140767
-150;-0.299591;-0.153976;-0.498330
-140;-0.169857;-0.437461;-0.397071
-130;-0.298549;-0.327426;-0.278934
-120;-0.360470;-0.818384;-0.285120
-110;-0.541546;-0.275176;-0.064295
-100;-0.333743;-0.157682;-0.466568
-90;-0.366560;-0.625517;-0.196451
-80;-0.271718;-0.692961;-0.493715
-70;-0.512605;-0.170059;-0.425641
-60;-0.356112;-0.122452;-0.560081
-50;-0.776121;-0.169813;-0.512771
-40;-0.459617;-0.595430;-0.562559
-30;-0.203776;0.177265;0.116591
-20;1.237085;1.003023;0.976892
-10;2.734515;2.502070;2.540113
0;4.446494;4.488689;4.178917
10;5.935152;6.231199;6.445663
20;8.013456;8.263648;8.075794
30;9.680111;9.858292;9.823376
40;11.439876;11.433835;11.726655
50;13.275802;13.261177;13.025030
60;15.034812;14.929583;14.680362
70;16.409416;16.297466;16.399074
80;18.045016;17.877391;18.182424
90;19.394230;19.584451;19.467560
100;20.770580;20.530421;20.889728
110;21.372701;21.030076;21.174114
120;20.892536;21.106209;20.909535
130;21.050220;20.822922;20.904599
140;20.411226;20.183456;20.018504
150;20.188230;20.212094;20.016844
160;19.868120;19.316618;19.696291
170;19.455801;19.099481;19.313951
180;19.034465;18.893208;18.869344
190;18.715104;18.611805;18.730159
200;18.384790;17.899934;18.238650
210;18.771310;17.780956;17.924360
220;17.878870;17.476724;17.993076
230;17.566249;17.333728;17.332454
