Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
1350;4.881806;4.547930;4.835221
1360;4.992310;5.090217;5.256824
1370;4.647009;4.972689;4.188971
1380;4.733685;4.579936;4.774296
1390;4.751560;4.567371;4.776394
1400;4.804629;4.549944;4.921052
1410;4.849735;4.668974;4.944715
1420;4.670462;4.823330;4.861830
1430;4.813041;4.593274;4.499053
1440;4.795144;4.699391;4.674912
1450;4.854872;4.638733;4.581340
1460;4.424128;4.497248;4.627451
1470;4.611962;4.419920;4.626749
1480;4.594678;4.383664;4.349390
1490;4.702670;4.705379;4.524241
1500;4.639469;4.754312;4.361631
1510;4.477995;4.708131;4.553153
1520;4.161049;4.537500;4.291581
1530;5.016531;4.361709;4.320951
1540;4.815791;4.506864;4.526098
1550;4.427241;4.442990;4.229313
1560;4.563616;4.610013;4.525820
1570;4.393846;4.417721;4.523881
1580;4.462929;4.747183;4.409773
1590;4.436181;4.297213;4.617704
1600;4.377685;4.224195;4.287522
1610;4.545240;4.453438;4.481828
1620;4.439861;4.557740;4.130967
1630;4.422525;4.453642;4.388903
1640;4.344938;4.433181;4.377434
1650;4.273674;4.317106;4.400327
1660;4.356627;4.198512;4.315436
1670;4.399598;4.209312;4.305838
1680;4.217539;4.253915;4.307550
1690;4.204670;4.674699;4.364717
1700;4.266811;4.315624;4.148504
1710;4.307066;4.269298;4.644112
1720;4.209077;4.243032;4.236522
1730;4.345972;4.306318;4.291144
1740;4.045400;4.076863;3.881501
1750;4.229996;4.235152;4.387121
1760;4.313240;4.415439;4.438178
1770;4.587210;4.221469;4.089681
1780;4.182724;4.200237;4.223919
1790;4.186261;4.096868;4.426167
1800;4.060729;4.254120;4.375885
1810;4.226207;4.330199;4.102862
1820;4.295437;4.364040;4.352825
1830;4.198334;4.161158;4.016900
1840;4.226802;4.048164;4.156537
1850;4.187633;4.043430;3.979847
1860;4.393927;4.051512;4.014307
1870;4.347959;4.030646;4.261993
1880;4.399983;4.213100;4.256418
1890;4.253486;3.967082;3.990208
1900;3.962198;4.375821;4.177008
1910;4.134601;4.054234;4.081207
1920;4.215137;3.911850;4.192059
1930;3.959732;4.017293;4.028655
1940;4.154197;3.935693;4.089733
1950;4.060729;3.901950;4.074130
1960;4.185021;4.190774;3.733049
1970;4.019894;3.973086;4.174857
1980;4.395169;3.745244;3.988558
1990;4.147477;4.119277;3.922025
2000;4.106079;4.118075;3.898911
2010;4.176396;3.874480;4.059979
2020;3.723624;4.404458;4.092848
2030;3.903744;3.909234;3.806629
2040;4.031698;4.045859;3.874848
2050;3.918085;4.148095;4.187115
2060;4.034273;4.124527;4.163336
2070;3.884506;3.787902;4.189375
2080;3.677670;3.774668;4.007688
2090;4.140938;3.833207;4.066580
2100;4.005165;3.899845;3.872784
2110;3.859904;4.015417;4.052862
2120;3.974862;3.858199;4.122815
2130;4.054222;3.909633;3.956004
